spark.default.parallelism,batchInterval,spark.executor.cores,spark.executor.memory,spark.shuffle.compress,spark.streaming.blockInterval,time
1,2,1,4,False,2,9.104
1,2,1,4,False,4,8.552
1,2,1,4,False,8,6.982
1,2,1,4,True,1,4.878
1,2,1,4,True,2,5.369
1,2,1,4,True,4,5.388
1,2,1,4,True,8,5.26
1,2,1,8,False,1,1.095
1,2,1,8,False,2,1.19
1,2,1,8,False,4,1.1
1,2,1,8,False,8,0.489
1,2,1,8,True,1,1.109
1,2,1,8,True,2,1.172
1,2,1,8,True,4,1.192
1,2,1,8,True,8,1.06
1,2,2,16,False,1,0.27
1,2,2,16,False,2,0.241
1,2,2,16,False,4,0.283
1,2,2,16,False,8,0.465
1,2,2,16,True,1,0.253
1,2,2,16,True,2,0.266
1,2,2,16,True,4,0.365
1,2,2,16,True,8,0.378
1,2,2,4,False,1,1.214
1,2,2,4,False,2,1.268
1,2,2,4,False,4,1.124
1,2,2,4,False,8,1.07
1,2,2,4,True,1,0.401
1,2,2,4,True,2,1.189
1,2,2,4,True,4,1.214
1,2,2,4,True,8,1.118
1,2,2,8,False,1,0.441
1,2,2,8,False,2,1.072
1,2,2,8,False,4,1.199
1,2,2,8,False,8,1.204
1,2,2,8,True,1,0.411
1,2,2,8,True,2,1.187
1,2,2,8,True,4,1.185
1,2,2,8,True,8,1.223
1,2,4,16,False,1,0.237
1,2,4,16,False,2,0.27
1,2,4,16,False,4,0.313
1,2,4,16,False,8,0.31
1,2,4,16,True,1,0.243
1,2,4,16,True,2,0.266
1,2,4,16,True,4,0.247
1,2,4,16,True,8,0.275
1,2,4,4,False,1,0.25
1,2,4,4,False,2,0.256
1,2,4,4,False,4,0.287
1,2,4,4,False,8,0.274
1,2,4,4,True,1,0.245
1,2,4,4,True,2,0.279
1,2,4,4,True,4,0.348
1,2,4,4,True,8,0.291
1,2,4,8,False,1,0.246
1,2,4,8,False,2,0.265
1,2,4,8,False,4,0.247
1,2,4,8,False,8,0.29
1,2,4,8,True,1,0.27
1,2,4,8,True,2,0.252
1,2,4,8,True,4,0.296
1,2,4,8,True,8,0.353
1,2,8,16,False,1,0.217
1,2,8,16,False,2,0.217
1,2,8,16,False,4,0.221
1,2,8,16,False,8,0.217
1,2,8,16,True,1,0.21
1,2,8,16,True,2,0.215
1,2,8,16,True,4,0.22
1,2,8,16,True,8,0.209
1,2,8,4,False,1,0.233
1,2,8,4,False,2,0.244
1,2,8,4,False,4,0.218
1,2,8,4,False,8,0.219
1,2,8,4,True,1,0.217
1,2,8,4,True,2,0.215
1,2,8,4,True,4,0.22
1,2,8,4,True,8,0.218
1,2,8,8,False,1,0.218
1,2,8,8,False,2,0.216
1,2,8,8,False,4,0.216
1,2,8,8,False,8,0.218
1,2,8,8,True,1,0.223
1,2,8,8,True,2,0.22
1,2,8,8,True,4,0.235
1,2,8,8,True,8,0.218
1,4,1,16,False,1,0.282
1,4,1,16,False,2,0.463
1,4,1,16,False,4,1.224
1,4,1,16,False,8,0.428
1,4,1,16,True,1,0.29
1,4,1,16,True,2,1.157
1,4,1,16,True,4,0.763
1,4,1,16,True,8,1.064
1,4,1,4,False,1,7.82
1,4,1,4,False,2,8.906
1,4,1,4,False,4,7.226
1,4,1,4,False,8,4.672
1,4,1,4,True,1,8.946
1,4,1,4,True,2,4.714
1,4,1,4,True,4,5.122
1,4,1,4,True,8,4.711
1,4,1,8,False,1,1.278
1,4,1,8,False,2,1.259
1,4,1,8,False,4,1.406
1,4,1,8,False,8,1.482
1,4,1,8,True,1,1.265
1,4,1,8,True,2,1.318
1,4,1,8,True,4,1.285
1,4,1,8,True,8,1.964
1,4,2,16,False,1,0.288
1,4,2,16,False,2,0.56
1,4,2,16,False,4,1.27
1,4,2,16,False,8,1.205
1,4,2,16,True,1,0.315
1,4,2,16,True,2,0.509
1,4,2,16,True,4,0.549
1,4,2,16,True,8,1.205
1,4,2,4,False,1,1.35
1,4,2,4,False,2,1.273
1,4,2,4,False,4,1.326
1,4,2,4,False,8,1.293
1,4,2,4,True,1,1.221
1,4,2,4,True,2,1.408
1,4,2,4,True,4,1.207
1,4,2,4,True,8,1.33
1,4,2,8,False,1,1.264
1,4,2,8,False,2,1.324
1,4,2,8,False,4,1.311
1,4,2,8,False,8,1.422
1,4,2,8,True,1,1.318
1,4,2,8,True,2,1.235
1,4,2,8,True,4,1.283
1,4,2,8,True,8,1.292
1,4,4,16,False,1,0.3
1,4,4,16,False,2,0.314
1,4,4,16,False,4,0.533
1,4,4,16,False,8,0.511
1,4,4,16,True,1,0.328
1,4,4,16,True,2,0.508
1,4,4,16,True,4,1.229
1,4,4,16,True,8,0.534
1,4,4,4,False,1,0.307
1,4,4,4,False,2,0.495
1,4,4,4,False,4,0.337
1,4,4,4,False,8,1.057
1,4,4,4,True,1,0.281
1,4,4,4,True,2,0.31
1,4,4,4,True,4,1.044
1,4,4,4,True,8,0.367
1,4,4,8,False,1,0.286
1,4,4,8,False,2,1.131
1,4,4,8,False,4,0.5
1,4,4,8,False,8,0.479
1,4,4,8,True,1,0.278
1,4,4,8,True,2,0.686
1,4,4,8,True,4,1.045
1,4,4,8,True,8,0.525
1,4,8,16,False,1,0.278
1,4,8,16,False,2,0.246
1,4,8,16,False,4,0.286
1,4,8,16,False,8,0.241
1,4,8,16,True,1,0.261
1,4,8,16,True,2,0.251
1,4,8,16,True,4,0.286
1,4,8,16,True,8,0.242
1,4,8,4,False,1,0.269
1,4,8,4,False,2,0.289
1,4,8,4,False,4,0.262
1,4,8,4,False,8,0.277
1,4,8,4,True,1,0.26
1,4,8,4,True,2,0.266
1,4,8,4,True,4,0.263
1,4,8,4,True,8,0.3
1,4,8,8,False,1,0.26
1,4,8,8,False,2,0.243
1,4,8,8,False,4,0.277
1,4,8,8,False,8,0.28
1,4,8,8,True,1,0.279
1,4,8,8,True,2,0.26
1,4,8,8,True,4,0.274
1,4,8,8,True,8,0.286
1,8,1,16,False,1,0.528
1,8,1,16,False,2,1.185
1,8,1,16,False,4,1.371
1,8,1,16,False,8,1.28
1,8,1,16,True,1,0.289
1,8,1,16,True,2,1.112
1,8,1,16,True,4,1.308
1,8,1,16,True,8,1.413
1,8,1,4,False,1,9.756
1,8,1,4,False,2,8.454
1,8,1,4,False,4,7.702
1,8,1,4,False,8,6.377
1,8,1,4,True,1,5.684
1,8,1,4,True,2,4.117
1,8,1,4,True,4,6.755
1,8,1,4,True,8,6.888
1,8,1,8,False,1,1.399
1,8,1,8,False,2,1.578
1,8,1,8,False,4,2.273
1,8,1,8,False,8,2.377
1,8,1,8,True,1,1.405
1,8,1,8,True,2,2.312
1,8,1,8,True,4,1.304
1,8,1,8,True,8,1.973
1,8,2,16,False,1,0.342
1,8,2,16,False,2,1.33
1,8,2,16,False,4,1.383
1,8,2,16,False,8,1.255
1,8,2,16,True,1,1.291
1,8,2,16,True,2,1.359
1,8,2,16,True,4,1.359
1,8,2,16,True,8,1.289
1,8,2,4,False,1,1.524
1,8,2,4,False,2,1.747
1,8,2,4,False,4,1.587
1,8,2,4,False,8,1.362
1,8,2,4,True,1,1.299
1,8,2,4,True,2,1.59
1,8,2,4,True,4,1.689
1,8,2,4,True,8,2.189
1,8,2,8,False,1,1.957
1,8,2,8,False,2,1.427
1,8,2,8,False,4,1.93
1,8,2,8,False,8,1.307
1,8,2,8,True,1,1.456
1,8,2,8,True,2,1.406
1,8,2,8,True,4,2.197
1,8,2,8,True,8,2.256
1,8,4,16,False,1,0.402
1,8,4,16,False,2,1.286
1,8,4,16,False,4,1.235
1,8,4,16,False,8,1.285
1,8,4,16,True,1,0.584
1,8,4,16,True,2,1.283
1,8,4,16,True,4,1.293
1,8,4,16,True,8,1.205
1,8,4,4,False,1,0.334
1,8,4,4,False,2,1.309
1,8,4,4,False,4,0.579
1,8,4,4,False,8,1.284
1,8,4,4,True,1,0.364
1,8,4,4,True,2,1.102
1,8,4,4,True,4,1.298
1,8,4,4,True,8,1.26
1,8,4,8,False,1,0.437
1,8,4,8,False,2,1.262
1,8,4,8,False,4,1.277
1,8,4,8,False,8,1.409
1,8,4,8,True,1,0.479
1,8,4,8,True,2,1.394
1,8,4,8,True,4,1.254
1,8,4,8,True,8,0.782
1,8,8,16,False,1,1.25
1,8,8,16,False,2,0.357
1,8,8,16,False,4,0.31
1,8,8,16,False,8,0.345
1,8,8,16,True,1,0.306
1,8,8,16,True,2,0.274
1,8,8,16,True,4,0.293
1,8,8,16,True,8,0.308
1,8,8,4,False,1,0.345
1,8,8,4,False,2,0.332
1,8,8,4,False,4,0.335
1,8,8,4,False,8,0.33
1,8,8,4,True,1,0.322
1,8,8,4,True,2,0.294
1,8,8,4,True,4,0.361
1,8,8,4,True,8,0.483
1,8,8,8,False,1,0.334
1,8,8,8,False,2,0.338
1,8,8,8,False,4,0.343
1,8,8,8,False,8,0.57
1,8,8,8,True,1,0.36
1,8,8,8,True,2,0.335
1,8,8,8,True,4,0.308
1,8,8,8,True,8,0.434
2,1,1,16,False,1,0.133
2,1,1,16,False,2,0.133
2,1,1,16,False,4,0.133
2,1,1,16,False,8,0.131
2,1,1,16,True,1,0.133
2,1,1,16,True,2,0.132
2,1,1,16,True,4,0.13
2,1,1,16,True,8,0.133
2,1,1,4,False,1,2.352
2,1,1,4,False,2,4.539
2,1,1,4,False,4,1.837
2,1,1,4,False,8,1.782
2,1,1,4,True,1,1.749
2,1,1,4,True,2,1.935
2,1,1,4,True,4,1.7
2,1,1,4,True,8,1.628
2,1,1,8,False,1,0.232
2,1,1,8,False,2,0.321
2,1,1,8,False,4,1.06
2,1,1,8,False,8,0.35
2,1,1,8,True,1,0.226
2,1,1,8,True,2,0.575
2,1,1,8,True,4,0.473
2,1,1,8,True,8,0.338
2,1,2,16,False,1,0.132
2,1,2,16,False,2,0.133
2,1,2,16,False,4,0.134
2,1,2,16,False,8,0.133
2,1,2,16,True,1,0.13
2,1,2,16,True,2,0.136
2,1,2,16,True,4,0.137
2,1,2,16,True,8,0.13
2,1,2,4,False,1,0.157
2,1,2,4,False,2,0.207
2,1,2,4,False,4,0.28
2,1,2,4,False,8,0.35
2,1,2,4,True,1,0.167
2,1,2,4,True,2,0.328
2,1,2,4,True,4,0.39
2,1,2,4,True,8,0.35
2,1,2,8,False,1,0.17
2,1,2,8,False,2,0.179
2,1,2,8,False,4,1.087
2,1,2,8,False,8,0.277
2,1,2,8,True,1,0.238
2,1,2,8,True,2,0.355
2,1,2,8,True,4,1.065
2,1,2,8,True,8,0.485
2,1,4,16,False,1,0.129
2,1,4,16,False,2,0.129
2,1,4,16,False,4,0.131
2,1,4,16,False,8,0.128
2,1,4,16,True,1,0.134
2,1,4,16,True,2,0.138
2,1,4,16,True,4,0.13
2,1,4,16,True,8,0.132
2,1,4,4,False,1,0.131
2,1,4,4,False,2,0.132
2,1,4,4,False,4,0.136
2,1,4,4,False,8,0.128
2,1,4,4,True,1,0.133
2,1,4,4,True,2,0.131
2,1,4,4,True,4,0.131
2,1,4,4,True,8,0.133
2,1,4,8,False,1,0.133
2,1,4,8,False,2,0.129
2,1,4,8,False,4,0.132
2,1,4,8,False,8,0.133
